Symbol,Type,Size,Duration,MAE_EUR,MFE_EUR,Final_PL_EUR,MAE_USD,MFE_USD,Final_PL_USD,Win,MFE_Utilization,MAE_Avoidance
US100.pro,Buy,0.12,13.814722222222223,118.79999999999998,148.79999999999998,-119.28000000000175,131.80859999999998,165.09359999999998,-132.34116000000193,False,-80.16129032258183,-0.4040404040418907
US100.pro,Sell,0.18,3.6036111111111113,130.3200000000026,19.07999999999738,-119.52000000000261,144.5900400000029,21.16925999999709,-132.6074400000029,False,-626.4150943397224,8.28729281767939
US100.pro,Sell,0.08,2.391388888888889,140.31999999999826,60.160000000000586,-119.8399999999994,155.68503999999805,66.74752000000065,-132.96247999999935,False,-199.20212765957154,14.595210946407574
US100.pro,Buy,0.1,128.87166666666667,33.80000000000291,433.59999999999854,410.1999999999971,37.50110000000323,481.07919999999837,455.11689999999675,True,94.60332103320998,-1113.6094674555081
US100.pro,Buy,0.18,0.9913888888888889,117.72000000000261,6.47999999999738,-117.72000000000261,130.61034000000288,7.189559999997093,-130.61034000000288,False,-1816.6666666674412,0.0
US100.pro,Buy,0.14,206.3825,98.56000000000205,500.639999999998,482.439999999998,109.35232000000227,555.4600799999978,535.2671799999978,True,96.36465324384787,-389.48863636362415
US100.pro,Buy,0.16,37.085277777777776,135.68000000000467,190.71999999999534,-113.92000000000117,150.53696000000517,211.60383999999482,-126.39424000000129,False,-59.731543624163145,16.03773584905863
US100.pro,Buy,0.12,17.453055555555554,121.19999999999999,64.31999999999826,-118.55999999999912,134.4714,71.36303999999807,-131.54231999999902,False,-184.32835820895886,2.1782178217828942
US100.pro,Sell,0.09,65.33361111111111,35.81999999999935,374.94000000000193,286.0199999999993,39.74228999999927,415.9959300000021,317.3391899999992,True,76.28420547287507,-698.4924623115704
US100.pro,Buy,0.06,17.25583333333333,122.64000000000087,35.4,-116.87999999999957,136.06908000000095,39.2763,-129.67835999999951,False,-330.16949152542253,4.6966731898249
US100.pro,Sell,0.07,55.24638888888889,113.68000000000103,44.51999999999899,-112.28000000000102,124.11582400000114,48.606935999998896,-122.58730400000113,False,-252.20125786164326,1.231527093596053
US100.pro,Buy,0.12,22.873333333333335,61.2,502.31999999999823,431.5199999999982,66.81816,548.4329759999981,471.1335359999981,True,85.90539894887715,-605.0980392156833
US100.pro,Buy,0.1,15.401944444444444,121.00000000000001,20.0,-117.40000000000146,132.10780000000003,21.836000000000002,-128.1773200000016,False,-587.0000000000073,2.9752066115690567
US100.pro,Buy,0.09,88.525,28.799999999999997,335.7,282.2399999999987,31.44384,366.51726,308.14963199999863,True,84.0750670241283,-879.9999999999955
US100.pro,Buy,0.11,23.51638888888889,168.7400000000016,54.559999999998396,-149.3800000000032,184.23033200000177,59.56860799999826,-163.09308400000353,False,-273.7903225806591,11.473272490220582
US100.pro,Buy,0.09,100.5,97.5600000000013,95.93999999999868,-87.48000000000064,106.51600800000142,104.74729199999857,-95.51066400000072,False,-91.18198874296628,10.332103321033742
US100.pro,Sell,0.19,8.939166666666667,69.91999999999861,194.18000000000137,101.08000000000139,76.3386559999985,212.00572400000152,110.35914400000154,True,52.0547945205483,-44.56521739130921
US100.pro,Buy,0.22,13.212222222222222,63.8,293.9199999999968,0.4400000000016007,69.65684,320.9018559999965,0.4803920000017477,True,0.14970059880294145,99.31034482758369
US100.pro,Sell,0.1,65.17916666666666,44.40000000000146,586.5999999999985,571.1999999999971,48.4759200000016,640.4498799999984,623.6361599999968,True,97.37470167064414,-1186.4864864864376
US100.pro,Sell,0.05,17.091666666666665,21.899999999999636,295.8000000000011,270.60000000000036,23.910419999999604,322.9544400000012,295.4410800000004,True,91.48073022312352,-1135.6164383561866
US100.pro,Sell,0.08,1.9969444444444444,116.31999999999826,9.760000000000582,-116.96000000000058,126.99817599999811,10.655968000000637,-127.69692800000064,False,-1198.3606557376395,-0.5502063273747648
US100.pro,Sell,0.06,4.885833333333333,10.679999999999563,231.12000000000046,54.12000000000043,11.819555999999515,255.78050400000052,59.89460400000048,True,23.416407061267012,-406.7415730337326
US100.pro,Sell,0.04,11.971388888888889,18.159999999999854,211.28000000000029,186.48000000000027,20.09767199999984,233.82357600000032,206.3774160000003,True,88.26202196137828,-926.872246696045
US100.pro,Sell,0.02,1.9938888888888888,126.95999999999985,32.44000000000015,-112.23999999999978,140.50663199999983,35.90134800000016,-124.21600799999976,False,-345.9926017262616,11.594202898550792
US100.pro,Buy,0.03,5.754722222222222,111.89999999999999,40.199999999999996,-103.73999999999978,123.83972999999999,44.48934,-114.80905799999977,False,-258.0597014925368,7.292225201072575
US100.pro,Sell,0.05,0.5794444444444444,135.69999999999982,46.100000000000364,-119.09999999999947,150.1791899999998,51.018870000000405,-131.80796999999941,False,-258.3514099783048,12.232866617538962
US100.pro,Buy,0.03,3.5677777777777777,139.31999999999988,64.6800000000001,-131.6399999999998,154.18544399999988,71.58135600000011,-145.68598799999975,False,-203.52504638218858,5.512489233419537
US100.pro,Buy,0.03,24.38361111111111,124.01999999999988,75.1800000000001,-119.0399999999998,137.25293399999987,83.20170600000012,-131.74156799999977,False,-158.33998403830756,4.015481373972015
US100.pro,Buy,0.05,11.011388888888888,147.89999999999964,30.400000000000546,-130.89999999999964,163.6809299999996,33.64368000000061,-144.8670299999996,False,-430.592105263149,11.494252873563246
US100.pro,Buy,0.06,15.924722222222222,66.47999999999956,357.59999999999997,303.24000000000086,72.25046399999952,388.63967999999994,329.5612320000009,True,84.79865771812105,-356.13718411552776
