Horizon (ore),Total PL (€),Avg PL (€),Win Rate (%),Trades
1,22490.006689872185,43.166999404745084,39.923224568138195,521
2,26322.785341588322,50.52358031015029,37.04414587332054,521
3,28399.489438999844,54.509576658349005,35.12476007677543,521
4,30679.397609283133,58.88560001781798,34.357005758157385,521
5,32168.48958549692,61.743742006711976,33.20537428023032,521
6,33235.97935008815,63.792666698825606,30.902111324376197,521
7,34367.80143751694,65.96506993765252,30.710172744721685,521
8,33845.8659907101,64.96327445433803,29.750479846449135,521
9,34332.14260158488,65.89662687444313,28.598848368522074,521
10,34070.85430716756,65.39511383333506,28.982725527831093,521
11,33925.30671785968,65.1157518576961,28.406909788867562,521
12,35025.34039271192,67.22714086892883,27.2552783109405,521
13,34166.088272598965,65.57790455393278,26.67946257197697,521
14,34255.11135953358,65.74877420255964,26.103646833013432,521
15,34385.29128177513,65.99863969630542,26.29558541266795,521
16,34738.11820067427,66.67585067307921,25.911708253358924,521
17,35964.496577306505,69.02974391037716,25.719769673704413,521
18,36884.541776559905,70.79566559800364,25.5278310940499,521
19,38122.49174089926,73.17176917639013,25.5278310940499,521
20,37348.271367475936,71.68574158824555,24.760076775431862,521
