Horizon (ore),Total PL (€),Avg PL (€),Win Rate (%),Trades
1,21843.265548754905,41.92565364444321,35.12476007677543,521
2,24902.146071411516,47.79682547295872,32.82149712092131,521
3,26084.998740492058,50.0671760853974,30.518234165067177,521
4,27750.15517044402,53.26325368607302,29.174664107485604,521
5,28831.942967725194,55.339621819050286,28.406909788867562,521
6,29213.40262800027,56.071790072937155,26.29558541266795,521
7,30839.25082911047,59.192420017486526,25.911708253358924,521
8,30344.66835765986,58.24312544656406,25.335892514395393,521
9,30634.884297215693,58.800161798878484,24.37619961612284,521
10,30302.860559177436,58.16288015197205,24.37619961612284,521
11,30059.894294629234,57.696534154758595,23.608445297504797,521
12,31141.066930377114,59.77172155542631,22.84069097888676,521
13,30489.358125248073,58.520840931378274,22.648752399232247,521
14,30936.585828761537,59.37924343332349,22.456813819577732,521
15,30766.351329118217,59.05249775262617,22.84069097888676,521
16,30978.608901842803,59.459901922922846,22.264875239923224,521
17,31978.007671598636,61.37813372667686,22.072936660268713,521
18,33186.34157878459,63.69739266561343,22.264875239923224,521
19,33978.00603613235,65.2169021806763,21.689059500959694,521
20,33503.70335110313,64.30653234376798,21.30518234165067,521
