Timestamp,Balance_EUR,Equity_Min_EUR,Equity_Max_EUR,Balance_USD,Equity_Min_USD,Equity_Max_USD,Exchange_Rate
2020-01-01 20:00:00,100000.0,100000.0,100000.0,110950.0,110950.0,110950.0,1.1095
2020-01-02 00:00:00,100000.0,100000.0,100000.0,110950.0,110950.0,110950.0,1.1095
2020-01-02 04:00:00,100000.0,100000.0,100000.0,110950.0,110950.0,110950.0,1.1095
2020-01-02 08:00:00,100000.0,99949.59999999999,99975.2,110950.0,110894.08119999999,110922.48439999999,1.1095
2020-01-02 12:00:00,100000.0,100070.31999999999,100109.51999999999,110950.0,111028.02003999999,111071.51243999998,1.1095
2020-01-02 16:00:00,100027.56,100194.03199999999,100443.34,110980.57781999999,111165.27850399999,111441.88573,1.1095
2020-01-02 20:00:00,100002.44,100044.308,100089.562,110952.70718,110999.159726,111049.369039,1.1095
2020-01-03 00:00:00,100002.44,100470.87400000001,100520.272,110952.70718,111472.434703,111527.24178399998,1.1095
2020-01-03 04:00:00,100002.44,100512.424,100558.648,110952.70718,111518.534428,111569.81995599999,1.1095
2020-01-03 08:00:00,100002.44,100558.808,100613.53600000001,110952.70718,111569.997476,111630.718192,1.1095
2020-01-03 12:00:00,99895.51000000001,100719.09000000001,100757.966,110834.068345,111747.830355,111790.96327699999,1.1095
2020-01-03 16:00:00,99895.51000000001,100623.14000000001,100807.08200000001,110834.068345,111641.37383000001,111845.457479,1.1095
2020-01-03 20:00:00,100678.99,100636.07,100652.31000000001,111703.339405,111655.719665,111673.737945,1.1095
2020-01-05 20:00:00,100658.55,100658.55,100658.55,111680.661225,111680.661225,111680.661225,1.1095
2020-01-06 00:00:00,100658.55,100694.76,100730.97,111680.661225,111720.83621999998,111761.01121499999,1.1095
2020-01-06 04:00:00,100658.55,100593.78,100602.95999999999,111680.661225,111608.79891,111618.98411999998,1.1095
2020-01-06 08:00:00,100658.55,100576.95000000001,100591.74,111680.661225,111590.126025,111606.53553,1.1095
2020-01-06 12:00:00,100658.55,100478.3,100519.86,111680.661225,111480.67384999999,111526.78467,1.1095
2020-01-06 16:00:00,100551.8,100429.84000000001,100456.23,111562.2221,111426.90748000001,111456.18718499999,1.1095
2020-01-06 20:00:00,100402.3,100520.47,100547.25,111396.35184999999,111527.461465,111557.173875,1.1095
2020-01-07 00:00:00,100511.71,100541.95000000001,100572.19,111517.742245,111551.293525,111584.844805,1.1095
2020-01-07 04:00:00,100511.71,100609.99,100625.74,111517.742245,111626.783905,111644.25852999999,1.1095
2020-01-07 08:00:00,100511.71,100537.99000000002,100578.87000000001,111517.742245,111546.89990500001,111592.256265,1.1095
2020-01-07 12:00:00,100511.71,100550.61000000002,100571.05,111517.742245,111560.90179500001,111583.579975,1.1095
2020-01-07 16:00:00,100511.71,100418.74200000001,100589.123,111517.742245,111414.594249,111603.6319685,1.1095
2020-01-07 20:00:00,100422.46,100570.187,100596.18000000001,111418.71937,111582.6224765,111611.46171,1.1095
