Ticket,Symbol,Type,Open time,Open price,Size,Close time,Close price,Time in trade,Profit/Loss (Global),Balance (Global),Profit/Loss (Pips),Strategy name (Global)
4,GOLD.pro,Buy,08.01.2020 00:22:27,1582.6,0.4,08.01.2020 01:27:49,1611.56,1h 5m,1037.73,1366.38,289600,gold sf
4,GOLD.pro,Buy,07.01.2020 15:46:02,1570.92,0.131,08.01.2020 03:06:29,1587.43,11h 20m,193.87,1560.25,165100,gold fv
6,US100.pro,Sell,08.01.2020 01:15:00,8715.6,0.08,08.01.2020 03:38:29,8790.5,2h 23m,-107.44,1452.81,-749000,nas100 cf
2,DE30.pro,Buy,08.01.2020 14:15:09,13279.5,0.13,08.01.2020 14:48:09,13241.9,33m 0s,-122.2,1330.61,-376000,dax sf
10,USDJPY.pro,Buy,08.01.2020 10:06:00,108.468,0.15,08.01.2020 21:00:00,109.229,10h 54m,94.05,1424.66,76.1,usdjpy pf
4,US100.pro,Buy,08.01.2020 11:20:42,8855.2,0.24,08.01.2020 21:13:06,8961.3,9h 52m,458.33,1882.99,1061000,nas100 sf
4,US500.pro,Buy,08.01.2020 16:00:55,3247.9,0.12,09.01.2020 16:00:55,3268.2,1d 0h 0m,109.65,1992.64,203000,us500 vf
5,US500.pro,Buy,08.01.2020 20:58:22,3262.1,0.12,09.01.2020 20:58:34,3273.9,1d 0h 0m,63.74,2056.38,118000,us500 vf
12,USDJPY.pro,Buy,09.01.2020 06:54:11,109.264,0.8,09.01.2020 21:00:00,109.51,14h 5m,161.8,2218.18,24.6,usdjpy pf
10,USDJPY.pro,Buy,08.01.2020 12:00:00,108.681,0.59,10.01.2020 14:30:00,109.599,2d 2h 30m,460.98,2679.16,91.8,usdjpy cf
6,US500.pro,Buy,09.01.2020 15:33:56,3273.9,0.12,10.01.2020 15:33:57,3278.9,1d 0h 0m,27.03,2706.19,50000,us500 vf
6,US100.pro,Buy,10.01.2020 12:08:27,9048,0.24,10.01.2020 15:34:03,9017.8,3h 25m,-130.63,2575.56,-302000,nas100 sf
14,USDJPY.pro,Buy,10.01.2020 06:30:01,109.562,1.58,10.01.2020 17:26:35,109.49,10h 56m,-93.46,2482.1,-7.2,usdjpy pf
12,USDJPY.pro,Buy,10.01.2020 15:00:00,109.653,0.95,10.01.2020 17:31:42,109.459,2h 31m,-151.45,2330.65,-19.4,usdjpy cf
6,GOLD.pro,Buy,10.01.2020 16:45:24,1557.14,0.136,13.01.2020 00:05:00,1559.78,2d 7h 19m,32.29,2362.94,26400,gold fv
16,USDJPY.pro,Buy,13.01.2020 06:24:01,109.643,1.37,13.01.2020 21:00:01,109.926,14h 36m,316.66,2679.6,28.3,usdjpy pf
