Symbol,Type,Size,Duration,MAE_EUR,MFE_EUR,Final_PL_EUR,MAE_USD,MFE_USD,Final_PL_USD,Win,MFE_Utilization,MAE_Avoidance
GOLD.pro,Buy,0.4,1.635,90.79999999999929,211.1999999999989,30.799999999999272,100.7425999999992,234.32639999999878,34.17259999999919,True,14.583333333333066,66.07929515418556
GOLD.pro,Buy,0.4,1.0894444444444444,-60.39999999999964,1158.4000000000015,1158.4000000000015,-67.0137999999996,1285.2448000000015,1285.2448000000015,True,100.0,2017.8807947020005
GOLD.pro,Buy,0.33,1.4136111111111112,89.1000000000015,81.8400000000006,-72.6000000000015,98.85645000000166,90.80148000000067,-80.54970000000166,False,-88.70967741935603,18.518518518518206
GOLD.pro,Buy,0.349,5.916666666666667,-44.671999999999045,207.65500000000156,55.49100000000507,-49.56358399999894,230.3932225000017,61.56726450000563,True,26.722689075632495,224.21875000001404
GOLD.pro,Buy,0.349,4.863888888888889,46.06799999999778,259.30700000000223,48.85999999999523,51.11244599999753,287.70111650000246,54.210169999994704,True,18.842530282635952,-6.060606060600819
GOLD.pro,Buy,0.34,1.1119444444444444,162.17999999999938,-15.640000000001239,-156.40000000000464,179.9387099999993,-17.352580000001375,-173.52580000000515,False,999.9999999999504,3.5639412997871287
GOLD.pro,Buy,0.34,0.9522222222222222,39.10000000000309,98.26000000000342,-38.079999999996296,43.381450000003426,109.01947000000378,-42.24975999999589,False,-38.75432525951045,2.608695652191088
GOLD.pro,Buy,0.32,2.783611111111111,32.31999999999971,169.59999999999854,39.36000000000058,35.28697599999968,185.16927999999842,42.97324800000064,True,23.207547169811864,-21.78217821782468
GOLD.pro,Buy,0.33,8.167777777777777,60.7199999999973,114.84000000000061,-57.75,66.29409599999705,125.38231200000068,-63.05145,False,-50.287356321838814,4.891304347821856
GOLD.pro,Buy,0.36,1.2866666666666666,39.239999999997046,94.31999999999606,-37.43999999999869,42.84223199999678,102.9785759999957,-40.87699199999857,False,-39.69465648854989,4.587155963298907
GOLD.pro,Buy,0.24,1.5794444444444444,308.8799999999974,128.88000000000284,-150.0,337.23518399999716,140.7111840000031,-163.77,False,-116.38733705772555,51.43745143745102
GOLD.pro,Buy,0.21,1.78,192.35999999999694,-11.339999999999236,-164.42999999999844,212.88481199999663,-12.549977999999154,-181.97468099999827,False,1450.0000000000841,14.519650655021286
GOLD.pro,Buy,0.19,13.425555555555556,52.81999999999948,446.6899999999998,293.36000000000104,58.455893999999425,494.3518229999998,324.66151200000115,True,65.67418119948984,-455.39568345324477
GOLD.pro,Buy,0.19,1.318888888888889,-26.790000000001555,238.8300000000031,66.68999999999983,-29.64849300000172,264.31316100000345,73.8058229999998,True,27.923627684963765,348.9361702127509
GOLD.pro,Buy,0.1,5.658611111111111,59.80000000000019,141.400000000001,-42.69999999999982,66.18066000000022,156.4873800000011,-47.2560899999998,False,-30.198019801979857,28.595317725753038
GOLD.pro,Buy,0.09,5.575,121.94999999999958,67.85999999999966,-100.17000000000098,134.96206499999954,75.10066199999962,-110.85813900000109,False,-147.6127320954929,17.859778597784885
GOLD.pro,Buy,0.1,18.575555555555557,20.199999999999818,196.90000000000057,57.4000000000001,21.9533599999998,213.9909200000006,62.38232000000011,True,29.151853732859283,-184.1584158415872
GOLD.pro,Buy,0.1,56.50416666666667,114.29999999999836,50.800000000001546,-64.40000000000055,124.22123999999822,55.20944000000168,-69.9899200000006,False,-126.77165354330431,43.65704286964001
GOLD.pro,Buy,0.11,0.4297222222222222,204.6000000000015,-42.4600000000014,-171.7100000000014,222.35928000000163,-46.14552800000152,-186.6144280000015,False,404.4041450777102,16.075268817204233
GOLD.pro,Buy,0.11,4.456944444444445,37.6200000000008,78.650000000001,-21.5600000000004,40.885416000000866,85.47682000000108,-23.431408000000435,False,-27.412587412587573,42.69005847953232
GOLD.pro,Buy,0.12,6.595555555555555,-10.55999999999858,389.40000000000055,291.3599999999997,-11.476607999998455,423.1999200000006,316.65004799999963,True,74.82280431432955,2859.090909091277
GOLD.pro,Buy,0.12,5.699166666666667,62.8800000000001,295.4399999999987,84.71999999999935,68.3379840000001,321.08419199999855,92.07369599999929,True,28.675873273761077,-34.732824427479656
GOLD.pro,Buy,0.12,1.655,23.399999999997817,95.88000000000011,-13.079999999999018,25.431119999997627,104.20238400000012,-14.215343999998932,False,-13.642052565706095,44.102564102563086
GOLD.pro,Buy,0.12,2.6830555555555557,92.04000000000086,53.64000000000032,-92.04000000000086,100.02907200000094,58.29595200000035,-100.02907200000094,False,-171.58836689038088,0.0
GOLD.pro,Buy,0.12,9.775833333333333,105.35999999999967,249.59999999999945,99.96000000000184,114.50524799999964,271.2652799999994,108.636528000002,True,40.048076923077744,5.12528473803896
GOLD.pro,Buy,0.13,15.451666666666666,94.50999999999978,78.64999999999941,-58.62999999999988,102.71346799999976,85.47681999999935,-63.71908399999987,False,-74.54545454545496,37.96423658872075
GOLD.pro,Buy,0.15,2.9383333333333335,35.250000000002046,209.24999999999727,86.69999999999959,38.46127500000223,228.312674999997,94.59836999999955,True,41.433691756272744,-145.9574468084952
GOLD.pro,Buy,0.16,1.0225,139.04000000000087,112.63999999999943,-63.520000000000444,151.70654400000095,122.90150399999938,-69.30667200000048,False,-56.392045454546135,54.315304948216315
GOLD.pro,Buy,0.2,6.071944444444444,15.799999999999272,120.19999999999982,20.399999999999636,17.239379999999205,131.1502199999998,22.258439999999602,True,16.971713810315865,-29.11392405063655
