Horizon,SL_Mult,Total PL,Win Rate,Recovery,Sharpe,norm_Recovery,norm_Sharpe,norm_Win Rate,Objective
1,,6245.010802356578,50.8637236084453,4.630517672438087,0.08374038586660523,0.7659026164396221,0.5095744026620608,0.8901734104046242,0.7262853904958544
1,1.5,4040.0682583694,35.12476007677543,2.4719418644182203,0.06567781017591998,0.29817964958014354,0.30261001893325973,0.41618497109826585,0.3349103568415151
1,2.0,2684.7202746749317,39.923224568138195,1.3421739340866974,0.041341625317349466,0.05338008948404087,0.023761443413566355,0.5606936416184971,0.1966885613032354
1,2.5,2615.0408330942064,43.37811900191939,1.2021675933671379,0.039267873000912855,0.02304333651145834,0.0,0.6647398843930635,0.2086392999225024
2,,7371.805335908715,54.510556621881,2.811900183957874,0.08352644287662345,0.37184225305827256,0.5071230037124906,1.0,0.6008738023370562
2,1.5,6077.094016217456,32.82149712092131,3.817697519689622,0.0932045664741326,0.5897797061604443,0.6180167610763752,0.34682080924855496,0.5253631535616567
2,2.0,4598.170715294495,37.04414587332054,2.1755900043377996,0.0663704019485243,0.23396574950948,0.3105458655061608,0.47398843930635837,0.32894659124754777
2,2.5,5123.255730404689,42.80230326295585,2.3533088405488507,0.07114469993625806,0.27247409423872915,0.3652506682812454,0.6473988439306357,0.412784491359056
3,,5833.094554428516,52.39923224568138,1.7176824736398058,0.05819320403406492,0.134745760102746,0.21684999643543496,0.9364161849710982,0.3998781584630583
3,1.5,6419.106485117043,30.518234165067177,2.8660389017226033,0.09345361311238501,0.3835730996659328,0.6208703842189606,0.2774566473988439,0.4229273493517145
3,2.0,5541.2055432989055,35.12476007677543,2.0467777197752324,0.07498559859659008,0.2060545389419812,0.4092604063060573,0.41618497109826585,0.3300554287980894
3,2.5,6892.498855087956,40.69097888675624,2.485467883642685,0.08925977863610307,0.30111048472522395,0.5728166413470678,0.5838150289017342,0.4674336949647302
4,,5727.732492386546,51.439539347408825,1.095820904720055,0.05240792136128788,0.0,0.15056114131464088,0.9075144508670518,0.3174226776545078
4,1.5,7735.993602180375,29.174664107485604,3.5574721702113195,0.1100423029273262,0.5333937446121733,0.8109467068437595,0.23699421965317918,0.5277397757939508
4,2.0,7343.63869716492,34.357005758157385,2.7457269520548406,0.09656340409423654,0.35750375253520816,0.6565029531895196,0.39306358381502876,0.4578714621154477
4,2.5,8376.862280823681,39.731285988483684,2.838246866871337,0.1043717917356101,0.37755108600887216,0.7459729249026822,0.5549132947976878,0.5412863003136599
5,,7219.328297703346,53.93474088291747,1.441068120024575,0.062378490290949114,0.07480860817685822,0.2648057922044378,0.9826589595375722,0.4041628687933463
5,1.5,8193.737568292714,28.406909788867562,3.7213451395882786,0.11374029497535036,0.568901949207209,0.85331899407232,0.2138728323699422,0.5477183276155623
5,2.0,8313.346032536592,33.20537428023032,2.957573723906194,0.10658909194549024,0.40340698200798386,0.7713791670321606,0.3583815028901733,0.5002909937798937
5,2.5,9721.072806634162,38.963531669865645,3.1566362548847287,0.11684248497753026,0.4465401058176343,0.8888644695906265,0.5317919075144509,0.6048129554585769
6,,8667.887005971197,53.35892514395394,1.5402389831216134,0.07019436603445328,0.09629707763038742,0.3543615639977936,0.9653179190751445,0.4344226759740364
6,1.5,8176.431158552099,26.29558541266795,3.939286208547217,0.1087558232929109,0.6161256987717472,0.7962059816406691,0.1502890173410406,0.5303987792032118
6,2.0,8540.843837911283,30.902111324376197,3.206790599807063,0.10383728557053809,0.4574076134218666,0.7398484529033523,0.28901734104046234,0.491622783551891
6,2.5,10073.094497926693,36.660268714011515,3.115435959844848,0.11363043995380714,0.4376127731939928,0.8520602546088816,0.4624277456647398,0.5693915093596835
7,,7092.505310562804,51.439539347408825,1.2781330552662789,0.05446380643562222,0.03950362995415679,0.17411785851341074,0.9075144508670518,0.34029114479580147
7,1.5,9660.829359662315,25.911708253358924,4.840391638383912,0.12273149686500721,0.8113783758056065,0.9563418735298546,0.13872832369942195,0.6530724094910255
7,2.0,9494.69319806736,30.710172744721685,3.782069718899276,0.111417200202241,0.5820598287179072,0.8267005379731643,0.28323699421965304,0.565805191145008
7,2.5,10636.104161418687,34.93282149712092,3.231240015838004,0.11423424079250598,0.46270534415779274,0.8589787179895324,0.41040462427745655,0.5658971403432138
8,,6382.8642556326495,51.24760076775432,1.1162234813138638,0.04720408083497966,0.0044208563908570645,0.09093455948081375,0.9017341040462428,0.29956894161445974
8,1.5,9053.292992107807,25.335892514395393,4.457686890243296,0.11426037505512382,0.7284534215063451,0.8592781692776283,0.12138728323699423,0.5855810043569247
8,2.0,8678.376490616602,29.750479846449135,3.36975518958279,0.10115564528418731,0.4927189891631068,0.7091217149922623,0.2543352601156069,0.48612468819760346
8,2.5,9643.832351867306,34.16506717850288,2.8642760000912326,0.10237719132026729,0.3831911118857294,0.7231184188335659,0.3872832369942197,0.48639694150262747
9,,9476.36963671855,51.24760076775432,1.6986303962757276,0.06838351375678278,0.13061753161225004,0.3336124785910405,0.9017341040462428,0.42285098743608496
9,1.5,9168.080557492085,24.37619961612284,4.788520131709575,0.1107952173700906,0.8001387913967326,0.8195737418976585,0.09248554913294796,0.593673303867875
9,2.0,8935.296640970048,28.598848368522074,3.638404749560109,0.10012278736677895,0.5509303194167112,0.6972870350431521,0.21965317919075147,0.4954541920368556
9,2.5,10133.302705808757,33.589251439539346,3.167260310995082,0.10340244405834459,0.44884213988359284,0.734865957209937,0.36994219653179183,0.5109793020759558
