Strategy,Total_Trades,Winning_Trades,Win_Rate,Total_Profit_EUR,Avg_Profit_EUR,Avg_MAE_EUR,Avg_MFE_EUR,Avg_MFE_Utilization,Avg_MAE_Avoidance
usdjpy cf,738,353,47.8319783197832,39087.2000000001,52.9636856368565,153.16407859078615,276.9379268292683,-181.8023246752298,-421.5572029140951
gold fv,701,356,50.78459343794579,27962.6379999999,39.889640513551925,118.40304850213984,188.96370328102708,-52.52259299314471,-166.47633354575123
usdjpy pf,1526,713,46.72346002621232,22363.77999999979,14.655163826998553,92.43792922673671,135.75946264744434,-133.24232900329685,-369.7802085305026
nas100 sf,729,289,39.64334705075446,19794.699999999626,27.153223593963823,96.61563786008269,186.64104252400514,-120.35200893379432,-184.1508662152032
dax sf,372,129,34.67741935483871,19697.89999999992,52.951344086021294,99.53514784946361,240.24012096774086,-1.9106340956546255,-210.64649324340434
nas100 cf,617,277,44.89465153970826,19010.459999999846,30.811118314424387,88.97617504051883,175.0329011345217,252.62119372495414,-880.7456882805337
us500 vf,703,369,52.48933143669986,18622.499999999724,26.49004267425281,87.15469416785226,138.56678520625877,-51.58977901363688,-190.25393055790468
gold sf,521,237,45.489443378119006,15797.130999999967,30.320788867562317,89.14212284069096,190.4515777351249,-377.3084218915441,-180.9034382447457
