MFE,MAE,Final_PL,Win,MFE_Utilization
117.65000000000236,180.70000000000118,-122.2000000000012,False,-103.86740331491606
106.92499999999883,139.09999999999764,-118.95000000000118,False,-111.24620060790507
381.875,24.375000000000004,115.70000000000118,True,30.29787234042584
208.60000000000127,96.5999999999949,-91.3499999999949,False,-43.791946308722125
114.40000000000236,119.92499999999882,-111.47499999999764,False,-97.44318181817773
71.69999999999891,117.60000000000217,-110.99999999999999,False,-154.8117154811739
597.0,92.69999999999891,320.3999999999978,True,53.66834170854234
0.0,155.34999999999764,-152.75,False,
0.0,112.45000000000118,-109.20000000000118,False,
98.54999999999836,122.55000000000109,-106.80000000000109,False,-108.37138508371676
0.0,145.42499999999973,-114.29999999999971,False,
705.4500000000003,86.70000000000027,338.625,True,48.0012757814161
188.02500000000052,139.04999999999973,-120.82500000000027,False,-64.26007179896287
60.74999999999999,131.84999999999945,-115.72499999999945,False,-190.49382716049294
46.875,122.1000000000008,-115.12499999999999,False,-245.59999999999997
372.9750000000008,56.69999999999891,132.82500000000027,True,35.61230645485622
91.49999999999999,74.92499999999971,31.950000000000273,True,34.91803278688555
21.0,117.0,-117.0,False,-557.1428571428571
136.29999999999927,103.70000000000073,-66.70000000000073,False,-48.936170212766754
287.09999999999854,95.20000000000073,111.79999999999927,True,38.94113549285957
527.0000000000005,10.99999999999909,260.87500000000097,True,49.50189753320697
314.1249999999991,100.25000000000091,130.49999999999955,True,41.54397134898525
789.0,26.69999999999891,548.25,True,69.48669201520913
25.049999999998363,112.65000000000055,-112.20000000000164,False,-447.9041916168023
30.450000000001637,110.69999999999891,-109.1999999999989,False,-358.6206896551495
0.0,204.90000000000052,-166.34999999999945,False,
1087.0999999999983,0.0,1087.0999999999983,True,100.0
0.0,130.7250000000013,-115.85000000000127,False,
532.6999999999994,11.899999999998728,236.07499999999936,True,44.31668856767404
76.80000000000109,107.69999999999891,-103.19999999999891,False,-134.37499999999667
370.1999999999989,87.30000000000109,-15.600000000002181,False,-4.213938411669969
0.0,116.12500000000183,-104.62500000000092,False,
60.249999999998636,114.12500000000136,-108.125,False,-179.46058091286713
258.0,81.90000000000055,-48.0,False,-18.6046511627907
0.0,114.62500000000091,-107.12500000000091,False,
0.0,105.62500000000001,-102.50000000000001,False,
384.29999999999836,57.150000000000546,110.54999999999835,True,28.76658860265387
277.34999999999945,35.25,-9.300000000001091,False,-3.3531638723638393
252.75,24.75,-1.9499999999989086,False,-0.7715133531152952
0.0,109.5,-108.29999999999835,False,
596.5749999999995,63.17500000000065,352.8000000000007,True,59.137577002053554
26.074999999999367,120.05000000000065,-116.55000000000064,False,-446.9798657718254
429.9749999999982,0.0,104.30000000000064,True,24.257224257224507
106.75000000000001,118.64999999999874,-111.29999999999747,False,-104.26229508196482
45.50000000000001,110.94999999999938,-110.25,False,-242.3076923076923
94.32499999999936,110.07499999999936,-108.67500000000065,False,-115.2133580705024
69.30000000000064,106.92500000000065,-103.25000000000001,False,-148.98989898989765
631.0,0.0,323.0,True,51.188589540412046
0.0,198.40000000000146,-112.80000000000292,False,
621.2000000000007,32.0,325.7999999999993,True,52.446877012234204
1.7500000000000002,119.69999999999939,-107.62500000000001,False,-6150.0
58.10000000000129,116.7249999999981,-108.14999999999874,False,-186.1445783132467
7.399999999997818,142.20000000000073,-115.20000000000073,False,-1556.7567567572257
6.200000000000728,138.79999999999927,-116.79999999999929,False,-1883.8709677417028
441.875,66.67500000000064,189.0,True,42.772277227722775
25.375000000000004,136.14999999999876,-106.39999999999874,False,-419.31034482758116
48.12500000000001,127.05000000000064,-108.67500000000065,False,-225.81818181818312
426.7999999999993,59.0,202.0,True,47.328959700093804
972.1250000000001,9.625,910.875,True,93.69936993699369
611.8499999999995,91.49999999999999,303.15000000000055,True,49.5464574650651
792.5999999999993,36.30000000000109,775.5,True,97.84254352763067
177.80000000000064,58.974999999998104,-56.52499999999874,False,-31.791338582676342
355.25,24.850000000001277,163.4499999999994,True,46.0098522167486
65.0,112.40000000000146,-110.00000000000001,False,-169.23076923076925
352.2499999999991,53.000000000001826,60.00000000000001,True,17.033356990773644
572.5,36.25000000000001,323.4999999999991,True,56.50655021834046
45.375,115.5,-115.5,False,-254.54545454545453
0.0,121.49999999999999,-110.25,False,
93.82499999999754,136.57500000000164,-110.70000000000164,False,-117.9856115107962
4.2749999999991815,139.72500000000082,-105.74999999999999,False,-2473.684210526789
919.0,86.0,910.0,True,99.02067464635473
81.0,108.22500000000082,-101.25,False,-125.0
98.75,134.0000000000009,-118.75,False,-120.25316455696202
27.225000000000815,111.375,-105.74999999999999,False,-388.429752066104
1001.2499999999999,78.97500000000082,962.7749999999992,True,96.15730337078645
79.20000000000164,124.19999999999753,-112.94999999999753,False,-142.6136363636303
481.49999999999994,88.64999999999917,283.5,True,58.8785046728972
67.2499999999991,132.7500000000009,-109.00000000000092,False,-162.08178438662065
586.5000000000009,10.25000000000091,303.75,True,51.7902813299232
1188.75,17.00000000000273,1187.7499999999964,True,99.91587802313325
0.0,111.650000000001,-111.650000000001,False,
76.5,131.99999999999997,-110.99999999999999,False,-145.09803921568624
681.0,73.19999999999891,441.0,True,64.75770925110133
74.10000000000217,132.89999999999782,-113.69999999999891,False,-153.44129554655274
30.25,134.75,-110.00000000000001,False,-363.6363636363637
0.0,124.00000000000091,-115.00000000000001,False,
49.27499999999918,119.47500000000082,-107.10000000000082,False,-217.35159817352124
179.77499999999918,117.22500000000082,-110.25,False,-61.3266583229039
467.54999999999836,51.07500000000164,218.92499999999836,True,46.823869104908376
