Ticket,Symbol,Type,Open Time,Entry Price,Price @ Crash,Floating P&L (€),Size,MAE (€),MFE (€)
1077,US500.pro,Buy,2024-07-05 08:02:48,5596.4,5590.2,-71.3,0.23,-127.65,336.95
942,US100.pro,Buy,2024-07-03 16:00:00,20275.6,20418.0,227.84,0.08,-63.84,631.52
