Symbol,Type,Size,Duration,MAE_EUR,MFE_EUR,Final_PL_EUR,MAE_USD,MFE_USD,Final_PL_USD,Win,MFE_Utilization,MAE_Avoidance
GOLD.pro,Buy,0.328,30.00027777777778,10.823999999997614,984.9839999999991,875.4320000000017,12.009227999997352,1092.839747999999,971.2918040000019,True,88.87778887778913,-7987.878787880587
GOLD.pro,Buy,0.131,11.340833333333334,70.47800000000143,532.3839999999984,216.2809999999999,78.19534100000158,590.6800479999982,239.96376949999987,True,40.6250000000001,-206.877323420068
GOLD.pro,Buy,0.136,55.32666666666667,-0.27199999999975266,53.58399999999766,35.90399999999827,-0.30178399999972555,59.4514479999974,39.83548799999808,True,67.00507614213168,13300.000000011365
GOLD.pro,Buy,0.212,30.000833333333333,58.3,233.2,208.81999999999806,64.68384999999999,258.73539999999997,231.68578999999784,True,89.54545454545372,-258.18181818181483
GOLD.pro,Buy,0.247,67.2611111111111,3.7050000000022463,176.85199999999642,118.55999999999887,4.110697500002492,196.21729399999603,131.54231999999874,True,67.03910614525212,-3099.999999998029
GOLD.pro,Buy,0.222,30.00027777777778,161.3939999999996,176.71199999999575,107.8919999999978,179.06664299999954,196.06196399999527,119.70617399999755,True,61.05527638190976,33.149931224210285
GOLD.pro,Buy,0.232,55.99027777777778,0.9279999999991561,513.8799999999969,340.807999999996,1.0296159999990635,570.1498599999966,378.12647599999553,True,66.32054176072198,-36625.00000003297
GOLD.pro,Buy,0.216,30.0,85.53600000000078,293.32799999999844,231.12000000000097,94.90219200000087,325.44741599999827,256.4276400000011,True,78.79234167894037,-170.20202020201884
GOLD.pro,Buy,0.198,57.76166666666666,75.63600000000325,164.14199999999929,128.50200000000018,82.57938480000355,179.21023559999924,140.2984836000002,True,78.287092882992,-69.89528795810813
GOLD.pro,Sell,0.312,9.650833333333333,5.928000000001703,232.4400000000014,-0.3119999999997162,6.4721904000018595,253.77799200000155,-0.3406415999996902,False,-0.13422818791934019,94.73684210526946
GOLD.pro,Buy,0.172,30.0,126.24799999999858,119.19600000000108,10.147999999998591,137.83756639999848,130.13819280000118,11.079586399998464,True,8.513708513707256,91.96185286103645
GOLD.pro,Buy,0.206,25.845277777777778,273.97999999999905,37.07999999999906,-263.6799999999991,299.131363999999,40.48394399999898,-287.88582399999905,False,-711.1111111111267,3.759398496240598
GOLD.pro,Sell,0.395,11.0,150.0999999999982,146.1500000000018,-123.23999999999569,163.87917999999806,159.56657000000197,-134.5534319999953,False,-84.32432432432034,17.894736842107154
GOLD.pro,Buy,0.264,80.00222222222222,120.91200000000408,178.72799999999953,98.47199999999448,132.01172160000448,195.1352303999995,107.51172959999398,True,55.096011816836054,18.55895196507282
GOLD.pro,Buy,0.264,80.00222222222222,120.91200000000408,178.72799999999953,98.47199999999448,132.01172160000448,195.1352303999995,107.51172959999398,True,55.096011816836054,18.55895196507282
GOLD.pro,Buy,0.338,30.000555555555554,5.408000000002767,660.1139999999991,605.3580000000028,5.904454400003021,720.7124651999991,660.9298644000031,True,91.70506912442451,-11093.749999994325
GOLD.pro,Buy,0.184,80.02638888888889,68.81600000000017,798.007999999998,744.2799999999967,75.1333088000002,871.2651343999979,812.6049039999964,True,93.26723541618613,-981.5508021390299
GOLD.pro,Buy,0.095,14.367222222222223,266.28499999999974,23.46500000000026,-263.5300000000001,290.72996299999977,25.619087000000285,-287.7220540000001,False,-1123.076923076911,1.034605779521812
GOLD.pro,Buy,0.068,30.000555555555554,122.53599999999989,-3.4000000000000004,-68.95199999999913,135.61059119999987,-3.7627800000000002,-76.30917839999904,False,2027.999999999974,43.72918978912385
GOLD.pro,Buy,0.109,27.500555555555554,29.975,449.40700000000015,202.63099999999912,33.1733325,497.3587269000002,224.25172769999904,True,45.08852777104029,-575.999999999997
GOLD.pro,Sell,0.131,5.956944444444445,151.56699999999915,48.86300000000024,-145.27899999999894,167.73919889999905,54.07668210000027,-160.78026929999882,False,-297.31903485254327,4.148660328435771
GOLD.pro,Sell,0.117,0.7147222222222223,52.06500000000054,151.39800000000065,127.64700000000096,57.62033550000059,167.55216660000073,141.26693490000108,True,84.31221020092762,-145.168539325842
GOLD.pro,Sell,0.066,3.8230555555555554,123.55200000000019,41.5799999999997,-127.64399999999947,136.73499840000022,46.01658599999967,-141.2636147999994,False,-306.98412698412795,-3.3119658119652193
GOLD.pro,Buy,0.056,78.22416666666666,175.56000000000077,20.27199999999939,-57.1760000000002,194.29225200000084,22.435022399999326,-63.276679200000224,False,-282.0441988950371,67.43221690590114
GOLD.pro,Buy,0.091,58.22944444444445,112.93100000000074,77.07700000000025,-27.755000000001655,122.7334108000008,83.76728360000027,-30.1641340000018,False,-36.00944510035622,75.42304593069974
GOLD.pro,Buy,0.102,25.253611111111113,48.95999999999953,477.97199999999896,209.20199999999988,53.209727999999494,519.4599695999989,227.36073359999986,True,43.76867264191215,-327.29166666667055
GOLD.pro,Buy,0.108,25.494722222222222,25.37999999999902,552.0959999999989,267.51599999999985,27.582983999998934,600.0179327999988,290.7363887999998,True,48.45461658841948,-954.0425531915295
GOLD.pro,Buy,0.105,84.07388888888889,82.84500000000105,286.6499999999995,168.52499999999952,90.03594600000115,311.53121999999945,183.15296999999947,True,58.791208791208724,-103.422053231936
GOLD.pro,Buy,0.107,30.0,71.36899999999834,411.6290000000003,360.91100000000023,77.5638291999982,447.3583972000003,392.2380748000002,True,87.67871068364958,-405.6971514243
